hidden,lr,epochs,patience,cv_acc_mean,cv_acc_std
25,0.01,50,3,0.8871164574616458,0.0071069004918468395
25,0.01,50,5,0.8896269177126918,0.007366951493525037
25,0.01,50,10,0.8896269177126918,0.007366951493525037
25,0.01,100,3,0.8862796373779638,0.0062808946892687
25,0.01,100,5,0.8887900976290097,0.0068858684941946885
25,0.01,100,10,0.8887900976290097,0.0068858684941946885
25,0.01,200,3,0.8862796373779638,0.0062808946892687
25,0.01,200,5,0.8887900976290097,0.0068858684941946885
25,0.01,200,10,0.8887900976290097,0.0068858684941946885
25,0.05,50,3,0.8871164574616458,0.02070392897316684
25,0.05,50,5,0.8871164574616458,0.02070392897316684
25,0.05,50,10,0.8871164574616458,0.02070392897316684
25,0.05,100,3,0.8871164574616458,0.02070392897316684
25,0.05,100,5,0.8871164574616458,0.02070392897316684
25,0.05,100,10,0.8871164574616458,0.02070392897316684
25,0.05,200,3,0.8871164574616458,0.02070392897316684
25,0.05,200,5,0.8871164574616458,0.02070392897316684
25,0.05,200,10,0.8871164574616458,0.02070392897316684
25,0.1,50,3,0.8687308228730822,0.016210807970784186
25,0.1,50,5,0.8787726638772664,0.011414885780480945
25,0.1,50,10,0.8770990237099024,0.010670832446932892
25,0.1,100,3,0.8687308228730822,0.016210807970784186
25,0.1,100,5,0.8787726638772664,0.011414885780480945
25,0.1,100,10,0.8770990237099024,0.010670832446932892
25,0.1,200,3,0.8687308228730822,0.016210807970784186
25,0.1,200,5,0.8787726638772664,0.011414885780480945
25,0.1,200,10,0.8770990237099024,0.010670832446932892
50,0.01,50,3,0.9080334728033472,0.007851852120997418
50,0.01,50,5,0.9080334728033472,0.007851852120997418
50,0.01,50,10,0.9080334728033472,0.007851852120997418
50,0.01,100,3,0.9071966527196652,0.007588809405024011
50,0.01,100,5,0.9071966527196652,0.007588809405024011
50,0.01,100,10,0.9071966527196652,0.007588809405024011
50,0.01,200,3,0.9071966527196652,0.007588809405024011
50,0.01,200,5,0.9071966527196652,0.007588809405024011
50,0.01,200,10,0.9071966527196652,0.007588809405024011
50,0.05,50,3,0.9088633193863318,0.012520189826459438
50,0.05,50,5,0.9088633193863318,0.012520189826459438
50,0.05,50,10,0.910536959553696,0.014863479768784752
50,0.05,100,3,0.9088633193863318,0.012520189826459438
50,0.05,100,5,0.9088633193863318,0.012520189826459438
50,0.05,100,10,0.910536959553696,0.014863479768784752
50,0.05,200,3,0.9088633193863318,0.012520189826459438
50,0.05,200,5,0.9088633193863318,0.012520189826459438
50,0.05,200,10,0.910536959553696,0.014863479768784752
50,0.1,50,3,0.8812482566248256,0.026881342813663164
50,0.1,50,5,0.8812482566248256,0.026881342813663164
50,0.1,50,10,0.8812482566248256,0.026881342813663164
50,0.1,100,3,0.8812482566248256,0.026881342813663164
50,0.1,100,5,0.8812482566248256,0.026881342813663164
50,0.1,100,10,0.8812482566248256,0.026881342813663164
50,0.1,200,3,0.8812482566248256,0.026881342813663164
50,0.1,200,5,0.8812482566248256,0.026881342813663164
50,0.1,200,10,0.8812482566248256,0.026881342813663164
75,0.01,50,3,0.9072036262203627,0.008365283080358506
75,0.01,50,5,0.9072036262203627,0.008365283080358506
75,0.01,50,10,0.9072036262203627,0.008365283080358506
75,0.01,100,3,0.9063668061366806,0.007584514774969667
75,0.01,100,5,0.9063668061366806,0.007584514774969667
75,0.01,100,10,0.9063668061366806,0.007584514774969667
75,0.01,200,3,0.9063668061366806,0.007584514774969667
75,0.01,200,5,0.9063668061366806,0.007584514774969667
75,0.01,200,10,0.9063668061366806,0.007584514774969667
75,0.05,50,3,0.91221059972106,0.013980580219343978
75,0.05,50,5,0.91221059972106,0.013980580219343978
75,0.05,50,10,0.917231520223152,0.013018321164554359
75,0.05,100,3,0.91221059972106,0.013980580219343978
